trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2017-01-26 00:00:00 +0000 +0000,9,59,28.2752613240418118
2023-03-12 00:00:00 +0000 +0000,1,54,20.9388264669163546
2016-03-10 00:00:00 +0000 +0000,4,80,40.0243055555555556
2020-11-23 00:00:00 +0000 +0000,4,58,26.5364963503649635
2024-02-28 00:00:00 +0000 +0000,1,80,35.8272946859903382
2019-05-13 00:00:00 +0000 +0000,1,56,21.7508771929824561
2021-08-31 00:00:00 +0000 +0000,1,65,32.6597222222222222
2021-01-22 00:00:00 +0000 +0000,6,83,39.3269230769230769
2023-05-11 00:00:00 +0000 +0000,1,74,33.2774390243902439
2018-05-23 00:00:00 +0000 +0000,1,54,20.8229166666666667
2016-02-10 00:00:00 +0000 +0000,4,76,35.2272727272727273
2018-04-17 00:00:00 +0000 +0000,1,62,27.7877697841726619
2019-10-30 00:00:00 +0000 +0000,1,60,26.5559566787003610
2022-07-14 00:00:00 +0000 +0000,1,27,10.2723378212974296
2017-01-22 00:00:00 +0000 +0000,8,42,22.6724738675958188
2023-11-27 00:00:00 +0000 +0000,1,76,31.4218134034165572
2023-10-05 00:00:00 +0000 +0000,1,74,33.7475177304964539
2019-01-14 00:00:00 +0000 +0000,1,56,21.3888888888888889
2020-06-28 00:00:00 +0000 +0000,1,36,9.5169082125603865
2020-05-07 00:00:00 +0000 +0000,1,38,16.6376306620209059
2017-08-21 00:00:00 +0000 +0000,1,54,24.5971731448763251
2021-01-24 00:00:00 +0000 +0000,1,11,5.2394366197183099
2024-05-15 00:00:00 +0000 +0000,1,76,34.4134477825464950
2022-05-16 00:00:00 +0000 +0000,1,74,30.9651741293532338
2016-05-12 00:00:00 +0000 +0000,2,72,40.4843205574912892
2016-04-20 00:00:00 +0000 +0000,4,78,40.0176678445229682
2016-01-11 00:00:00 +0000 +0000,6,72,35.1254355400696864
2024-04-11 00:00:00 +0000 +0000,1,72,38.3218045112781955
2020-12-30 00:00:00 +0000 +0000,4,71,34.6493055555555556
2021-04-13 00:00:00 +0000 +0000,2,56,26.1979166666666667
2024-03-01 00:00:00 +0000 +0000,1,80,35.9897660818713450
2022-09-12 00:00:00 +0000 +0000,1,69,27.9343653250773994
2021-07-01 00:00:00 +0000 +0000,1,69,36.5381944444444444
2020-06-03 00:00:00 +0000 +0000,1,62,25.4790209790209790
2019-05-01 00:00:00 +0000 +0000,1,31,14.2097378277153558
2021-01-10 00:00:00 +0000 +0000,4,22,11.1114864864864865
2019-05-18 00:00:00 +0000 +0000,1,45,17.5649122807017544
2021-04-14 00:00:00 +0000 +0000,1,58,25.3715277777777778
2017-06-26 00:00:00 +0000 +0000,1,45,19.9824561403508772
2021-11-09 00:00:00 +0000 +0000,2,74,37.1713286713286713
2020-07-03 00:00:00 +0000 +0000,4,60,31.2083333333333333
2018-05-29 00:00:00 +0000 +0000,1,56,23.6515679442508711
2020-10-16 00:00:00 +0000 +0000,4,67,33.1637630662020906
2022-07-30 00:00:00 +0000 +0000,1,51,23.7426035502958580
2017-02-14 00:00:00 +0000 +0000,2,56,27.9305555555555556
2021-03-23 00:00:00 +0000 +0000,4,65,36.8333333333333333
2016-01-07 00:00:00 +0000 +0000,2,89,40.6215277777777778
2021-04-01 00:00:00 +0000 +0000,2,63,34.3180076628352490
2021-11-15 00:00:00 +0000 +0000,1,74,32.0694444444444444
2017-02-25 00:00:00 +0000 +0000,1,11,5.1538461538461538
2015-08-31 00:00:00 +0000 +0000,1,65,31.2604166666666667
2022-09-23 00:00:00 +0000 +0000,1,72,31.8768203883495146
2023-02-14 00:00:00 +0000 +0000,1,80,34.2928039702233251
2021-07-24 00:00:00 +0000 +0000,1,26,11.7465277777777778
2021-01-21 00:00:00 +0000 +0000,6,67,35.3055555555555556
2015-12-02 00:00:00 +0000 +0000,2,74,34.0105263157894737
2020-07-18 00:00:00 +0000 +0000,4,42,23.1701388888888889
2015-12-26 00:00:00 +0000 +0000,1,63,27.6805555555555556
2022-12-26 00:00:00 +0000 +0000,1,78,33.8516209476309227
2019-05-28 00:00:00 +0000 +0000,1,62,25.9930069930069930
2023-05-19 00:00:00 +0000 +0000,1,54,22.1136044880785414
2018-06-24 00:00:00 +0000 +0000,1,36,10.6083916083916084
2017-11-08 00:00:00 +0000 +0000,1,57,24.1298245614035088
2017-05-30 00:00:00 +0000 +0000,1,53,25.3298611111111111
2020-12-14 00:00:00 +0000 +0000,8,72,38.2604166666666667
2016-11-17 00:00:00 +0000 +0000,1,81,31.1672473867595819
2022-12-19 00:00:00 +0000 +0000,1,81,33.8965986394557823
2018-11-07 00:00:00 +0000 +0000,1,60,25.2822299651567944
2016-11-26 00:00:00 +0000 +0000,1,60,23.7804878048780488
2018-03-09 00:00:00 +0000 +0000,2,63,28.5400696864111498
2019-05-23 00:00:00 +0000 +0000,1,62,24.9685314685314685
2019-03-02 00:00:00 +0000 +0000,1,53,21.3020833333333333
2022-05-24 00:00:00 +0000 +0000,1,71,35.1689750692520776
2019-06-21 00:00:00 +0000 +0000,1,67,31.2947368421052632
2018-09-12 00:00:00 +0000 +0000,1,60,25.2508710801393728
2022-01-01 00:00:00 +0000 +0000,1,40,14.1742160278745645
2024-05-25 00:00:00 +0000 +0000,1,71,35.5834502103786816
2022-01-29 00:00:00 +0000 +0000,2,58,26.6944444444444444
2018-04-01 00:00:00 +0000 +0000,1,49,20.9790940766550523
2020-11-20 00:00:00 +0000 +0000,4,71,29.1562500000000000
2015-10-06 00:00:00 +0000 +0000,1,69,35.5902777777777778
2024-02-21 00:00:00 +0000 +0000,1,78,36.4133522727272727
2016-08-31 00:00:00 +0000 +0000,1,80,28.5272727272727273
2017-02-16 00:00:00 +0000 +0000,2,56,28.1631944444444444
2016-07-15 00:00:00 +0000 +0000,2,72,35.6984732824427481
2021-08-17 00:00:00 +0000 +0000,1,65,30.9930069930069930
2019-05-19 00:00:00 +0000 +0000,1,45,11.0631578947368421
2017-12-01 00:00:00 +0000 +0000,1,61,26.7000000000000000
2021-11-27 00:00:00 +0000 +0000,4,56,29.0381944444444444
2018-12-29 00:00:00 +0000 +0000,1,63,30.2361111111111111
2021-01-14 00:00:00 +0000 +0000,6,65,33.4895833333333333
2022-04-10 00:00:00 +0000 +0000,1,45,16.1812500000000000
2024-02-17 00:00:00 +0000 +0000,1,72,31.9184993531694696
2018-03-29 00:00:00 +0000 +0000,6,58,30.7929824561403509
2021-04-03 00:00:00 +0000 +0000,1,17,6.7789473684210526
2021-03-28 00:00:00 +0000 +0000,1,11,2.8881118881118881
2018-05-21 00:00:00 +0000 +0000,1,53,20.6562500000000000
2024-03-28 00:00:00 +0000 +0000,1,87,40.6792079207920792
2020-02-08 00:00:00 +0000 +0000,15,44,28.3728222996515679
2018-12-08 00:00:00 +0000 +0000,1,58,24.5419580419580420
2022-06-11 00:00:00 +0000 +0000,1,60,25.0036319612590799
2016-06-22 00:00:00 +0000 +0000,1,69,34.0731707317073171
2015-11-29 00:00:00 +0000 +0000,1,53,20.4618055555555556
